LOCATION,SUBJECT,TIME,VALUE
CRI,UPPSRY_WOMEN,2011,17.000002
CRI,BUPPSRY,2012,60.889778
CRI,TRY,2012,23.244442
CRI,UPPSRY,2012,15.865781
CRI,TRY_MEN,2012,22.458946
CRI,TRY_WOMEN,2012,24.033546
CRI,UPPSRY_MEN,2012,15.808207
CRI,UPPSRY_WOMEN,2012,15.923619
CRI,BUPPSRY,2013,59.697968
CRI,TRY,2013,23.270735
CRI,UPPSRY,2013,17.031296
CRI,TRY_MEN,2013,21.710941
CRI,TRY_WOMEN,2013,24.794907
CRI,UPPSRY_MEN,2013,17.068398
CRI,UPPSRY_WOMEN,2013,16.995043
CRI,BUPPSRY,2014,59.457653
CRI,TRY,2014,23.535925
CRI,UPPSRY,2014,17.00642
CRI,TRY_MEN,2014,22.793673
CRI,TRY_WOMEN,2014,24.262573
CRI,UPPSRY_MEN,2014,16.662304
CRI,UPPSRY_WOMEN,2014,17.343304
CRI,BUPPSRY,2015,60.632359
CRI,TRY,2015,23.136086
CRI,UPPSRY,2015,16.231556
CRI,TRY_MEN,2015,22.159082
CRI,TRY_WOMEN,2015,24.09667
CRI,UPPSRY_MEN,2015,16.426344
CRI,UPPSRY_WOMEN,2015,16.040039
CRI,BUPPSRY,2016,60.063385
CRI,TRY,2016,22.998714
CRI,UPPSRY,2016,16.937899
CRI,TRY_MEN,2016,21.172318
CRI,TRY_WOMEN,2016,24.779873
CRI,UPPSRY_MEN,2016,17.125578
CRI,UPPSRY_WOMEN,2016,16.754868
CRI,BUPPSRY,2017,60.489311
CRI,TRY,2017,22.989092
CRI,UPPSRY,2017,16.521597
CRI,TRY_MEN,2017,21.779003
CRI,TRY_WOMEN,2017,24.189367
CRI,UPPSRY_MEN,2017,15.813051
CRI,UPPSRY_WOMEN,2017,17.224396
CZE,BUPPSRY,2008,9.096694
CZE,TRY,2008,14.498895
CZE,UPPSRY,2008,76.404411
CZE,TRY_MEN,2008,15.249544
CZE,TRY_WOMEN,2008,13.740888
CZE,UPPSRY_MEN,2008,78.870338
CZE,UPPSRY_WOMEN,2008,73.914314
CZE,BUPPSRY,2009,8.5971041
CZE,TRY,2009,15.544437
CZE,UPPSRY,2009,75.858459
CZE,TRY_MEN,2009,16.176504
CZE,TRY_WOMEN,2009,14.90211
CZE,UPPSRY_MEN,2009,78.107689
CZE,UPPSRY_WOMEN,2009,73.572708
CZE,BUPPSRY,2010,8.0573692
CZE,TRY,2010,16.764982
CZE,UPPSRY,2010,75.17765
CZE,TRY_MEN,2010,17.254253
CZE,TRY_WOMEN,2010,16.267406
CZE,UPPSRY_MEN,2010,77.528778
CZE,UPPSRY_WOMEN,2010,72.786613
CZE,BUPPSRY,2011,7.6677351
CZE,TRY,2011,18.243177
CZE,UPPSRY,2011,74.089088
CZE,TRY_MEN,2011,18.417831
CZE,TRY_WOMEN,2011,18.065575
CZE,UPPSRY_MEN,2011,76.562912
CZE,UPPSRY_WOMEN,2011,71.573494
CZE,BUPPSRY,2012,7.5491762
CZE,TRY,2012,19.277992
CZE,UPPSRY,2012,73.172829
CZE,TRY_MEN,2012,19.016911
CZE,TRY_WOMEN,2012,19.544611
CZE,UPPSRY_MEN,2012,75.807465
CZE,UPPSRY_WOMEN,2012,70.482307
CZE,BUPPSRY,2013,7.1797996
CZE,TRY,2013,20.45986
CZE,UPPSRY,2013,72.360344
CZE,TRY_MEN,2013,19.962648
CZE,TRY_WOMEN,2013,20.968353
CZE,UPPSRY_MEN,2013,74.84005
CZE,UPPSRY_WOMEN,2013,69.824356
CZE,BUPPSRY,2014,6.8099089
CZE,TRY,2014,21.51013
CZE,UPPSRY,2014,71.679962
CZE,TRY_MEN,2014,20.672594
CZE,TRY_WOMEN,2014,22.367245
CZE,UPPSRY_MEN,2014,74.483772
CZE,UPPSRY_WOMEN,2014,68.810608
CZE,BUPPSRY,2015,6.841207
CZE,TRY,2015,22.186741
CZE,UPPSRY,2015,70.972054
CZE,TRY_MEN,2015,20.964939
CZE,TRY_WOMEN,2015,23.440073
CZE,UPPSRY_MEN,2015,74.027802
CZE,UPPSRY_WOMEN,2015,67.837448
CZE,BUPPSRY,2016,6.5732007
CZE,TRY,2016,22.971544
CZE,UPPSRY,2016,70.455254
CZE,TRY_MEN,2016,21.909687
CZE,TRY_WOMEN,2016,24.062445
CZE,UPPSRY_MEN,2016,73.080116
CZE,UPPSRY_WOMEN,2016,67.758606
CZE,BUPPSRY,2017,6.2063141
CZE,TRY,2017,23.927534
CZE,UPPSRY,2017,69.86615
CZE,TRY_MEN,2017,22.416576
CZE,TRY_WOMEN,2017,25.483604
CZE,UPPSRY_MEN,2017,72.735123
CZE,UPPSRY_WOMEN,2017,66.911522
DEU,BUPPSRY,2008,14.668834
DEU,TRY,2008,25.400061
DEU,UPPSRY,2008,59.931107
DEU,TRY_MEN,2008,28.949875
DEU,TRY_WOMEN,2008,21.83062
DEU,UPPSRY_MEN,2008,59.202728
DEU,UPPSRY_WOMEN,2008,60.663509
DEU,BUPPSRY,2009,14.520243
DEU,TRY,2009,26.385326
DEU,UPPSRY,2009,59.094433
DEU,TRY_MEN,2009,29.675966
DEU,TRY_WOMEN,2009,23.066357
DEU,UPPSRY_MEN,2009,58.432209
DEU,UPPSRY_WOMEN,2009,59.762356
DEU,BUPPSRY,2010,14.189683
DEU,TRY,2010,26.609148
DEU,UPPSRY,2010,59.201168
DEU,TRY_MEN,2010,29.818239
DEU,TRY_WOMEN,2010,23.37282
DEU,UPPSRY_MEN,2010,58.465305
DEU,UPPSRY_WOMEN,2010,59.943279
DEU,BUPPSRY,2011,13.74963
DEU,TRY,2011,27.562323
DEU,UPPSRY,2011,58.688049
DEU,TRY_MEN,2011,30.199104
DEU,TRY_WOMEN,2011,24.903835
DEU,UPPSRY_MEN,2011,58.369835
DEU,UPPSRY_WOMEN,2011,59.008881
DEU,BUPPSRY,2012,13.699094
DEU,TRY,2012,28.121572
DEU,UPPSRY,2012,58.179337
DEU,TRY_MEN,2012,30.480848
DEU,TRY_WOMEN,2012,25.742893
DEU,UPPSRY_MEN,2012,58.036034
DEU,UPPSRY_WOMEN,2012,58.323814
DEU,BUPPSRY,2013,13.679199
DEU,TRY,2013,28.47327
DEU,UPPSRY,2013,57.84753
DEU,TRY_MEN,2013,30.58095
DEU,TRY_WOMEN,2013,26.347219
DEU,UPPSRY_MEN,2013,57.761517
DEU,UPPSRY_WOMEN,2013,57.934292
DEU,BUPPSRY,2014,13.096583
DEU,TRY,2014,27.057884
DEU,UPPSRY,2014,59.845531
DEU,TRY_MEN,2014,30.447104
DEU,TRY_WOMEN,2014,23.663828
DEU,UPPSRY_MEN,2014,58.296429
DEU,UPPSRY_WOMEN,2014,61.396847
DEU,BUPPSRY,2015,13.208749
